iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,death_rate
BEL,Europe,Belgium,2020-09-08,89945,917,558.571,9912,4,2.571,7760.827,79.123,48.196,855.248,0.345,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.93,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,0.916,0.11020067819222859
BLZ,North America,Belize,2020-09-08,1307,46,42.857,16,1,0.429,3287.05,115.688,107.784,40.239,2.515,1.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.22,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,74.62,0.708,0.01224177505738332
BEN,Africa,Benin,2020-09-08,2213,0,9.714,40,0,0,182.543,0,0.801,3.299,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.67,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515,0.01807501129688206
BMU,North America,Bermuda,2020-09-08,175,0,0.429,9,0,0,2810.207,0,6.882,144.525,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.48,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,0.05142857142857143
BTN,Asia,Bhutan,2020-09-08,233,3,1.143,0,0,0,301.965,3.888,1.481,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,71.78,0.612,0
BOL,South America,Bolivia,2020-09-08,121604,835,715.143,7054,46,289.571,10417.519,71.532,61.265,604.299,3.941,24.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.48,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.693,0.05800796026446498
BES,North America,Bonaire Sint Eustatius and Saba,2020-09-08,19,1,0.571,0,0,0,724.61,38.137,21.793,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.79,NA,0
BIH,Europe,Bosnia and Herzegovina,2020-09-08,21660,518,242.286,664,25,7.857,6602.018,157.888,73.849,202.389,7.62,2.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768,0.030655586334256694
BWA,Africa,Botswana,2020-09-08,2126,124,57.429,9,1,0.429,904.056,52.729,24.421,3.827,0.425,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.07,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,69.59,0.717,0.0042333019755409216
BRA,South America,Brazil,2020-09-08,4147794,10273,34217.429,126960,310,797,19513.575,48.33,160.978,597.292,1.458,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.69,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.759,0.030609041818373817
